Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2018-01-02,2018,1,2,Tuesday,00,2018-00,42.54,43.08,42.31,43.06,102223600,40.78,0.0,40.78,40.78
2018-01-03,2018,1,3,Wednesday,00,2018-00,43.13,43.64,42.99,43.06,118071600,40.77,-0.00017437962856770017,40.775000000000006,40.775000000000006
2018-01-04,2018,1,4,Thursday,00,2018-00,43.13,43.37,43.02,43.26,89738400,40.96,0.004645070885892499,40.836666666666666,40.836666666666666
2018-01-05,2018,1,5,Friday,00,2018-00,43.36,43.84,43.26,43.75,94640000,41.43,0.011385660674547049,40.985,40.985
2018-01-08,2018,1,8,Monday,01,2018-01,43.59,43.9,43.48,43.59,82271200,41.27,-0.0037144024537009157,41.042,41.042
2018-01-09,2018,1,9,Tuesday,01,2018-01,43.64,43.76,43.35,43.58,86336000,41.27,-0.00011461302161053233,41.080000000000005,41.080000000000005
2018-01-10,2018,1,10,Wednesday,01,2018-01,43.29,43.58,43.25,43.57,95839600,41.26,-0.0002298069612282072,41.105714285714285,41.105714285714285
2018-01-11,2018,1,11,Thursday,01,2018-01,43.65,43.87,43.62,43.82,74670800,41.49,0.00568010711502942,41.15375,41.15375
2018-01-12,2018,1,12,Friday,01,2018-01,44.04,44.34,43.91,44.27,101672400,41.92,0.010326365822935113,41.238888888888894,41.238888888888894
2018-01-16,2018,1,16,Tuesday,02,2018-02,44.47,44.85,44.03,44.05,118263600,41.71,-0.005082064508285411,41.286,41.286
2018-01-17,2018,1,17,Wednesday,02,2018-02,44.04,44.81,43.77,44.78,137547200,42.4,0.01651622111056139,41.38727272727272,41.38727272727272
2018-01-18,2018,1,18,Thursday,02,2018-02,44.84,45.03,44.56,44.81,124773600,42.43,0.000893666467334242,41.47416666666667,41.47416666666667
2018-01-19,2018,1,19,Friday,02,2018-02,44.65,44.9,44.35,44.62,129700400,42.24,-0.004462814434552209,41.533076923076926,41.533076923076926
2018-01-22,2018,1,22,Monday,03,2018-03,44.33,44.44,44.15,44.25,108434400,41.9,-0.008181104392203209,41.559285714285714,41.559285714285714
2018-01-23,2018,1,23,Tuesday,03,2018-03,44.33,44.86,44.21,44.26,130756400,41.91,0.00022570307326730266,41.64,41.58266666666667
2018-01-24,2018,1,24,Wednesday,03,2018-03,44.31,44.33,43.3,43.56,204420400,41.24,-0.015928638215259916,41.673571428571435,41.56125
2018-01-25,2018,1,25,Thursday,03,2018-03,43.63,43.74,42.63,42.78,166116000,40.5,-0.017850983424668287,41.64071428571429,41.498823529411766
2018-01-26,2018,1,26,Friday,03,2018-03,43.0,43.0,42.51,42.88,156572000,40.6,0.0023378315926818605,41.58142857142857,41.44888888888889
2018-01-29,2018,1,29,Monday,04,2018-04,42.54,42.54,41.77,41.99,202561600,39.76,-0.020698441441344917,41.473571428571425,41.36
2018-01-30,2018,1,30,Tuesday,04,2018-04,41.38,41.84,41.17,41.74,184192800,39.52,-0.005894175222761033,41.348571428571425,41.268
2018-01-31,2018,1,31,Wednesday,04,2018-04,41.72,42.11,41.62,41.86,129915600,39.63,0.0027547371837690626,41.232142857142854,41.19
2018-02-01,2018,2,1,Thursday,04,2018-04,41.79,42.15,41.69,41.94,188923200,39.72,0.002090358986767793,41.105714285714285,41.12318181818182
2018-02-02,2018,2,2,Friday,04,2018-04,41.5,41.7,40.03,40.12,346375200,37.99,-0.0433900750922962,40.825,40.98695652173913
2018-02-05,2018,2,5,Monday,05,2018-05,39.78,40.97,39.0,39.12,290954000,37.04,-0.024984304045966632,40.49142857142857,40.8225
2018-02-06,2018,2,6,Tuesday,05,2018-05,38.71,40.93,38.5,40.76,272975200,38.59,0.04179145976516718,40.21928571428572,40.733200000000004
2018-02-07,2018,2,7,Wednesday,05,2018-05,40.77,40.85,39.77,39.88,206434400,37.77,-0.021406868694377135,39.88642857142857,40.61923076923077
2018-02-08,2018,2,8,Thursday,05,2018-05,40.07,40.25,38.76,38.79,217562000,36.73,-0.0275166611077452,39.49285714285714,40.47518518518518
2018-02-09,2018,2,9,Friday,05,2018-05,39.27,39.47,37.56,39.1,282690400,37.18,0.012231621485217392,39.15571428571428,40.3575
2018-02-12,2018,2,12,Monday,06,2018-06,39.62,40.97,39.38,40.68,243278000,38.67,0.04027880789890714,38.924285714285716,40.29931034482759
2018-02-13,2018,2,13,Tuesday,06,2018-06,40.49,41.19,40.41,41.08,130196800,39.06,0.010017677267601943,38.76857142857143,40.258
2018-02-14,2018,2,14,Wednesday,06,2018-06,40.76,41.88,40.72,41.84,162579600,39.78,0.018437537141934746,38.71714285714285,40.24258064516129
2018-02-15,2018,2,15,Thursday,06,2018-06,42.45,43.27,42.25,43.25,204588800,41.12,0.03357809529846256,38.75428571428571,40.27
2018-02-16,2018,2,16,Friday,06,2018-06,43.09,43.71,42.94,43.11,160704400,40.98,-0.003237311853805158,38.84142857142857,40.291515151515156
2018-02-20,2018,2,20,Tuesday,07,2018-07,43.01,43.56,42.85,42.96,135722000,40.85,-0.003363617087699722,38.93642857142857,40.30794117647059
2018-02-21,2018,2,21,Wednesday,07,2018-07,43.21,43.53,42.75,42.77,149886400,40.66,-0.00453874845118174,39.01,40.318000000000005
2018-02-22,2018,2,22,Thursday,07,2018-07,42.95,43.49,42.93,43.12,123967600,41.0,0.008358853033453517,39.10142857142857,40.33694444444445
2018-02-23,2018,2,23,Friday,07,2018-07,43.42,43.91,43.38,43.88,135249600,41.71,0.017391750948607898,39.36714285714286,40.37405405405405
2018-02-26,2018,2,26,Monday,08,2018-08,44.09,44.85,44.05,44.74,152648800,42.54,0.0197718691682629,39.76,40.43105263157895
2018-02-27,2018,2,27,Tuesday,08,2018-08,44.78,45.12,44.54,44.6,155712400,42.4,-0.003240702004729812,40.03214285714285,40.48153846153846
2018-02-28,2018,2,28,Wednesday,08,2018-08,44.81,45.15,44.51,44.53,151128400,42.34,-0.0015134718064367947,40.35857142857143,40.528000000000006
2018-03-01,2018,3,1,Thursday,08,2018-08,44.63,44.94,43.17,43.75,195208000,41.59,-0.017516277678360614,40.705714285714286,40.55390243902439
2018-03-02,2018,3,2,Friday,08,2018-08,43.2,44.08,43.11,44.05,153816000,41.88,0.0069143983688360056,41.041428571428575,40.585476190476186
2018-03-05,2018,3,5,Monday,09,2018-09,43.8,44.44,43.63,44.21,113605600,42.03,0.00346169456352019,41.28142857142857,40.619069767441864
2018-03-06,2018,3,6,Tuesday,09,2018-09,44.48,44.56,44.03,44.17,95154000,41.99,-0.0008484143900230334,41.49071428571428,40.65022727272728
2018-03-07,2018,3,7,Wednesday,09,2018-09,43.74,43.96,43.57,43.76,126814000,41.6,-0.009282977558839667,41.62071428571429,40.67133333333334
2018-03-08,2018,3,8,Thursday,09,2018-09,43.87,44.28,43.77,44.24,95096400,42.06,0.010912667756087346,41.68785714285714,40.701521739130435
2018-03-09,2018,3,9,Friday,09,2018-09,44.49,45.0,44.35,44.99,128740800,42.78,0.01718064467147218,41.816428571428574,40.74574468085106
2018-03-12,2018,3,12,Monday,10,2018-10,45.07,45.6,45.05,45.43,128828400,43.19,0.009667995284783348,41.98357142857143,40.79666666666667
2018-03-13,2018,3,13,Tuesday,10,2018-10,45.65,45.88,44.81,44.99,126774000,42.78,-0.00963044421184589,42.135,40.83714285714286
2018-03-14,2018,3,14,Wednesday,10,2018-10,45.08,45.13,44.45,44.61,117473600,42.41,-0.008501256188641948,42.23571428571429,40.8686
2018-03-15,2018,3,15,Thursday,10,2018-10,44.62,45.06,44.52,44.66,90975200,42.46,0.0011766550275378318,42.28928571428571,40.9022
2018-03-16,2018,3,16,Friday,10,2018-10,44.66,44.78,44.4,44.51,157618800,42.31,-0.003525906251878208,42.27285714285715,40.933
2018-03-19,2018,3,19,Monday,11,2018-11,44.33,44.37,43.42,43.83,133787200,41.67,-0.015279496766618106,42.22071428571429,40.9472
2018-03-20,2018,3,20,Tuesday,11,2018-11,43.81,44.2,43.74,43.81,78597600,41.65,-0.0003422351397116552,42.17142857142857,40.9516
2018-03-21,2018,3,21,Wednesday,11,2018-11,43.76,43.77,42.81,42.82,148219600,40.71,-0.022654783677396817,42.10857142857143,40.9404
2018-03-22,2018,3,22,Thursday,11,2018-11,42.5,43.17,42.15,42.21,165963200,40.13,-0.014129688463895285,41.98357142857143,40.9176
2018-03-23,2018,3,23,Friday,11,2018-11,42.1,42.48,41.24,41.24,164115200,39.2,-0.02315673548953001,41.78142857142858,40.8764
2018-03-26,2018,3,26,Monday,12,2018-12,42.02,43.28,41.61,43.19,150164800,41.06,0.04747208255784208,41.714999999999996,40.8678
2018-03-27,2018,3,27,Tuesday,12,2018-12,43.42,43.79,41.73,42.08,163690400,40.01,-0.025641075662158452,41.60142857142857,40.8296
2018-03-28,2018,3,28,Wednesday,12,2018-12,41.81,42.51,41.3,41.62,166674000,39.57,-0.011049168039815926,41.423571428571435,40.7868
2018-03-29,2018,3,29,Thursday,12,2018-12,41.95,42.94,41.72,41.94,153594000,39.88,0.007808713042184001,41.21642857142857,40.7364
2018-04-02,2018,4,2,Monday,13,2018-13,41.66,42.24,41.12,41.67,150347200,39.62,-0.006556103683168835,40.96142857142858,40.6802
